time(s), average_n_photon(m^-3), average_n_exotic(m^-3)
0.319,1390246187335723.5,0.000000000000000004099639632361755
0.32,1390246187335721,0.0000000000000000041124510062042095
0.321,1390246187335692.8,0.000000000000000004125262380057136
0.322,1390246187335690.3,0.000000000000000004138073753916387
0.323,1390246187335681,0.000000000000000004150885127757495
0.324,1390246187335679.8,0.000000000000000004163696501599925
0.325,1390246187335677.5,0.000000000000000004176507875462907
0.326,1390246187335669.5,0.000000000000000004189319249312956
0.327,1390246187335667,0.000000000000000004202130623175908
0.328,1390246187335638.8,0.000000000000000004214941997018246
0.329,1390246187335636,0.000000000000000004227753370859164
0.33,1390246187335628.3,0.000000000000000004240564744717625
0.331,1390246187335625.8,0.0000000000000000042533761185729926
0.332,1390246187335516.3,0.000000000000000004266187492415305
0.333,1390246187335513.5,0.000000000000000004278998866277676
0.334,1390246187335504,0.000000000000000004291810240114457
0.335,1390246187335476,0.000000000000000004304621613976543
0.336,1390246187335473.5,0.000000000000000004317432987818511
0.337,1390246187335465.8,0.0000000000000000043302443616752364
0.338,1390246187335463.3,0.0000000000000000043430557355331955
0.339,1390246187335027.5,0.000000000000000004355867109373878
0.34,1390246187335024.8,0.0000000000000000043686784832158235
0.341,1390246187335016.8,0.000000000000000004381489857077362
0.342,1390246187335014.3,0.0000000000000000043943012309312894
0.343,1390246187334986,0.0000000000000000044071126047928
0.34400000000000003,1390246187334983.5,0.000000000000000004419923978634661
0.34500000000000003,1390246187334976,0.0000000000000000044327353524751706
0.34600000000000003,1390246187334864.8,0.000000000000000004445546726332416
0.34700000000000003,1390246187334862,0.000000000000000004458358100191362
0.34800000000000003,1390246187334854.5,0.0000000000000000044711694740332
0.34900000000000003,1390246187334852,0.000000000000000004483980847894182
0.35000000000000003,1390246187334823.8,0.000000000000000004496792221730749
0.35100000000000003,1390246187334821.3,0.000000000000000004509603595591453
0.352,1390246187334813,0.000000000000000004522414969432977
0.353,1390246187334810.5,0.000000000000000004535226343293158
0.354,1390246187333070.5,0.000000000000000004548037717149952
0.355,1390246187333067.8,0.000000000000000004560849090990248
0.356,1390246187333060.3,0.000000000000000004573660464831752
0.357,1390246187333057.5,0.0000000000000000045864718386919726
0.358,1390246187333028,0.000000000000000004599283212549433
0.359,1390246187333020.3,0.000000000000000004612094586409632
0.36,1390246187333017.8,0.000000000000000004624905960251058
0.361,1390246187332908,0.0000000000000000046377173340911974
0.362,1390246187332905.5,0.000000000000000004650528707947331
0.363,1390246187332897.8,0.000000000000000004663340081809538
0.364,1390246187332894.8,0.000000000000000004676151455650944
0.365,1390246187332866.8,0.000000000000000004688962829510659
0.366,1390246187332864,0.00000000000000000470177420334703
0.367,1390246187332856.5,0.000000000000000004714585577206509
0.368,1390246187332853.8,0.000000000000000004727396951047628
0.369,1390246187332416.5,0.0000000000000000047402083249109656
0.37,1390246187332409,0.0000000000000000047530196987666905
0.371,1390246187332406.3,0.000000000000000004765831072606557
0.372,1390246187332378,0.000000000000000004778642446447657
0.373,1390246187332375.8,0.0000000000000000047914538203066775
0.374,1390246187332367.8,0.000000000000000004804265194167368
0.375,1390246187332365,0.000000000000000004817076568026365
0.376,1390246187332255.3,0.000000000000000004829887941867395
0.377,1390246187332252.8,0.0000000000000000048426993157071935
0.378,1390246187332245.3,0.0000000000000000048555106895623175
0.379,1390246187332242.5,0.000000000000000004868322063427508
0.38,1390246187332214.5,0.0000000000000000048811334372685174
0.381,1390246187332205,0.0000000000000000048939448111270735
0.382,1390246187332202.5,0.000000000000000004906756184963265
0.383,1390246187325245,0.000000000000000004919567558821603
0.384,1390246187325242.3,0.00000000000000000493237893266235
0.385,1390246187325234.5,0.000000000000000004945190306528583
0.386,1390246187325232,0.00000000000000000495800168038331
0.387,1390246187325203.8,0.000000000000000004970813054222927
0.388,1390246187325201,0.000000000000000004983624428063657
0.389,1390246187325193.5,0.000000000000000004996435801921573
0.39,1390246187325190.8,0.0000000000000000050092471757852286
0.391,1390246187325081.3,0.000000000000000005022058549643125
0.392,1390246187325078.8,0.0000000000000000050348699234837895
0.393,1390246187325069.3,0.00000000000000000504768129732327
0.394,1390246187325041.3,0.000000000000000005060492671177462
0.395,1390246187325038.5,0.000000000000000005073304045045403
0.396,1390246187325031,0.000000000000000005086115418886048
0.397,1390246187325028.3,0.000000000000000005098926792743538
0.398,1390246187324592.5,0.000000000000000005111738166579565
0.399,1390246187324589.8,0.000000000000000005124549540418934
0.4,1390246187324581.8,0.0000000000000000051373609142761416
0.401,1390246187324579.3,0.000000000000000005150172288141697
0.402,1390246187324551.3,0.000000000000000005162983661998885
0.403,1390246187324548.8,0.0000000000000000051757950358393145
0.404,1390246187324539.5,0.000000000000000005188606409678597
0.405,1390246187324429.8,0.000000000000000005201417783532185
0.406,1390246187324427.3,0.0000000000000000052142291574018864
0.40700000000000003,1390246187324419.5,0.000000000000000005227040531242299
0.40800000000000003,1390246187324417,0.0000000000000000052398519050991014
0.40900000000000003,1390246187324389,0.000000000000000005252663278935022
0.41000000000000003,1390246187324385.8,0.000000000000000005265474652791635
0.41100000000000003,1390246187324378.3,0.000000000000000005278286026631801
0.41200000000000003,1390246187324375.5,0.000000000000000005291097400502408
0.41300000000000003,1390246187322635.5,0.0000000000000000053039087743556674
0.41400000000000003,1390246187322633,0.000000000000000005316720148194793
0.41500000000000004,1390246187322625.3,0.0000000000000000053295315220349605
0.41600000000000004,1390246187322595.5,0.0000000000000000053423428958912024
0.417,1390246187322593,0.000000000000000005355154269759346
0.418,1390246187322585.5,0.0000000000000000053679656436155715
0.419,1390246187322582.8,0.0000000000000000053807770174556826
0.42,1390246187322473.3,0.000000000000000005393588391294692
0.421,1390246187322470.5,0.000000000000000005406399765147403
0.422,1390246187322462.5,0.000000000000000005419211139019505
0.423,1390246187322459.8,0.000000000000000005432022512859599
0.424,1390246187322431.8,0.0000000000000000054448338867154695
0.425,1390246187322429.3,0.0000000000000000054576452605512465
0.426,1390246187322421.5,0.0000000000000000054704566344069376
0.427,1390246187322419,0.00000000000000000548326800824682
0.428,1390246187321981.8,0.000000000000000005496079382119758
0.429,1390246187321974,0.00000000000000000550889075597223
0.43,1390246187321971.5,0.0000000000000000055217021298110935
0.431,1390246187321943.5,0.0000000000000000055345135036509465
0.432,1390246187321940.8,0.0000000000000000055473248775062994
0.433,1390246187321932.8,0.000000000000000005560136251376839
0.434,1390246187321930,0.000000000000000005572947625232175
0.435,1390246187321820.5,0.0000000000000000055857589990719875
0.436,1390246187321817.8,0.000000000000000005598570372910744
0.437,1390246187321810.3,0.000000000000000005611381746762767
0.438,1390246187321807.5,0.000000000000000005624193120637092
0.439,1390246187321778,0.000000000000000005637004494476894
0.44,1390246187321770,0.000000000000000005649815868331644
0.441,1390246187321767.8,0.0000000000000000056626272421672895
0.442,1390246187316825,0.000000000000000005675438616022132
0.443,1390246187316822.5,0.0000000000000000056882499898617366
0.444,1390246187316814.8,0.000000000000000005701061363736837
