time(s),avg_energy(J/m^3),avg_photon(m^-3),avg_axion(m^-3),avg_neutrino(m^-3),avg_qgp_fraction,neutrino_mass_eV
0.000000000000000000010858000000000001,319999999999999900000000000000000000,100000000001096340000000000000000000000,100000031647696480000000000000000,99999967592760430000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000010980000000000001,319999999999999900000000000000000000,99999998157498900000000000000000000000,100000031999335990000000000000000,99999967232681370000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000011102000000000001,319999999999999900000000000000000000,100000000001122010000000000000000000000,100000032350978600000000000000000,99999966872599540000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000011224,319999999999999900000000000000000000,99999998157522830000000000000000000000,100000032702618100000000000000000,99999966512520480000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000011346,319999999999999900000000000000000000,100000000001146020000000000000000000000,100000033054260710000000000000000,99999966152438660000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000011468,319999999999999900000000000000000000,99999998157548580000000000000000000000,100000033405900220000000000000000,99999965792359600000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000011590000000000001,319999999999999900000000000000000000,100000000001171710000000000000000000000,100000033757542830000000000000000,99999965432277770000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000011712000000000001,319999999999999900000000000000000000,99999998157570060000000000000000000000,100000034109182340000000000000000,99999965072198700000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000011834000000000001,319999999999999900000000000000000000,100000000001193190000000000000000000000,100000034460824950000000000000000,99999964712116880000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000011956000000000001,319999999999999900000000000000000000,99999998157596780000000000000000000000,100000034812464460000000000000000,99999964352037820000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000012078000000000002,319999999999999900000000000000000000,100000000001221350000000000000000000000,100000035164107070000000000000000,99999963991955990000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000012200000000000002,319999999999999900000000000000000000,99999998157620720000000000000000000000,100000035515746580000000000000000,99999963631876930000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000012322,319999999999999900000000000000000000,100000000001247000000000000000000000000,100000035867389180000000000000000,99999963271795100000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000012444,319999999999999900000000000000000000,99999998157646390000000000000000000000,100000036219028700000000000000000,99999962911716040000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000012566000000000001,319999999999999900000000000000000000,100000000001268560000000000000000000000,100000036570671300000000000000000,99999962551634210000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000012688000000000001,319999999999999900000000000000000000,99999998157667920000000000000000000000,100000036922310810000000000000000,99999962191555150000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000012810000000000001,319999999999999900000000000000000000,100000000001294210000000000000000000000,100000037273953420000000000000000,99999961831473320000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000012932000000000001,319999999999999900000000000000000000,99999998157693610000000000000000000000,100000037625592930000000000000000,99999961471394260000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000013054000000000002,319999999999999900000000000000000000,100000000001318180000000000000000000000,100000037977235540000000000000000,99999961111312430000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000013176,319999999999999900000000000000000000,99999998157717560000000000000000000000,100000038328875050000000000000000,99999960751233370000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000013298,319999999999999900000000000000000000,100000000001344100000000000000000000000,100000038680517660000000000000000,99999960391151550000000000000000000,0.9999998874648379,0.785877208489073
0.00000000000000000001342,319999999999999900000000000000000000,99999998157743480000000000000000000000,100000039032157170000000000000000,99999960031072490000000000000000000,0.9999998874648379,0.785877208489073
