time(s),avg_photon_density,avg_axion_density,avg_neutrino_density,avg_energy_density
0.000000000000034159999999999997,inf,inf,0,1567164147613594000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0.000000000000035379999999999997,inf,inf,0,inf
0.000000000000036599999999999997,inf,inf,0,inf
0.00000000000003782,inf,inf,0,inf
0.00000000000003904,inf,inf,0,inf
0.00000000000004026,inf,inf,0,inf
0.00000000000004148,inf,inf,0,inf
0.0000000000000427,inf,inf,0,inf
0.00000000000004392,inf,inf,0,inf
0.00000000000004514,inf,inf,0,inf
0.00000000000004636,inf,inf,0,inf
0.00000000000004758,inf,inf,0,inf
0.0000000000000488,inf,inf,0,inf
0.00000000000005002,inf,inf,0,inf
0.00000000000005124,inf,inf,0,inf
0.00000000000005246,inf,inf,0,inf
0.00000000000005368,inf,inf,0,inf
0.0000000000000549,inf,inf,0,inf
0.00000000000005612,inf,inf,0,inf
0.00000000000005734,inf,inf,0,inf
0.00000000000005855999999999999,inf,inf,0,inf
0.00000000000005978,inf,inf,0,inf
0.00000000000006099999999999999,inf,inf,0,inf
0.00000000000006222,inf,inf,0,inf
