time(s),radius(cm),n_photon(cm^-3),n_pairs(cm^-3),n_W,n_Z,n_H
335,20050000000000,92202675933562570000000,2071837458449303700000000000000000000,0,0,0
336,20080000000000,91652897534199200000000,2072005105471071700000000000000000000,0,0,0
337,20110000000000,91107210749066630000000,2072170762148183300000000000000000000,0,0,0
338,20140000000000,90565579091283360000000,2072334455024779200000000000000000000,0,0,0
339,20170000000000,90027966453003900000000,2072496210252243600000000000000000000,0,0,0
340,20200000000000,89494337100925240000000,2072656053595588600000000000000000000,0,0,0
341,20230000000000,88964655671853540000000,2072814010439722500000000000000000000,0,0,0
342,20260000000000,88438887168329300000000,2072970105795610000000000000000000000,0,0,0
343,20290000000000,87916996954310970000000,2073124364306322300000000000000000000,0,0,0
344,20320000000000,87398950750915850000000,2073276810252981500000000000000000000,0,0,0
345,20350000000000,86884714632216860000000,2073427467560599000000000000000000000,0,0,0
346,20380000000000,86374255021095580000000,2073576359803813300000000000000000000,0,0,0
347,20410000000000,85867538685149490000000,2073723510212524000000000000000000000,0,0,0
348,20440000000000,85364532732653320000000,2073868941677431500000000000000000000,0,0,0
349,20470000000000,84865204608573700000000,2074012676755475300000000000000000000,0,0,0
350,20500000000000,84369522090635870000000,2074154737675179800000000000000000000,0,0,0
351,20530000000000,83877453285442370000000,2074295146341907300000000000000000000,0,0,0
352,20560000000000,83388966624642290000000,2074433924343017000000000000000000000,0,0,0
353,20590000000000,82904030861150800000000,2074571092952937000000000000000000000,0,0,0
354,20620000000000,82422615065418020000000,2074706673138145800000000000000000000,0,0,0
355,20650000000000,81944688621746630000000,2074840685562070000000000000000000000,0,0,0
356,20680000000000,81470221224657380000000,2074973150589894500000000000000000000,0,0,0
357,20710000000000,80999182875301780000000,2075104088293291000000000000000000000,0,0,0
358,20740000000000,80531543877921900000000,2075233518455065400000000000000000000,0,0,0
359,20770000000000,80067274836355160000000,2075361460573722700000000000000000000,0,0,0
360,20800000000000,79606346650585350000000,2075487933867956400000000000000000000,0,0,0
361,20830000000000,79148730513337730000000,2075612957281058300000000000000000000,0,0,0
362,20860000000000,78694397906718220000000,2075736549485253700000000000000000000,0,0,0
363,20890000000000,78243320598895860000000,2075858728885961000000000000000000000,0,0,0
364,20920000000000,77795470640828240000000,2075979513625981700000000000000000000,0,0,0
365,20950000000000,77350820363028800000000,2076098921589613300000000000000000000,0,0,0
366,20980000000000,76909342372375630000000,2076216970406697300000000000000000000,0,0,0
367,21010000000000,76471009548961370000000,2076333677456595300000000000000000000,0,0,0
368,21040000000000,76035795042983450000000,2076449059872098200000000000000000000,0,0,0
369,21070000000000,75603672271673740000000,2076563134543268300000000000000000000,0,0,0
370,21100000000000,75174614916267970000000,2076675918121217000000000000000000000,0,0,0
371,21130000000000,74748596919013310000000,2076787427021818700000000000000000000,0,0,0
372,21160000000000,74325592480214240000000,2076897677429360000000000000000000000,0,0,0
373,21190000000000,73905576055316070000000,2077006685300129800000000000000000000,0,0,0
