time(s),radius(cm),n_photon(cm^-3),n_pairs(cm^-3),n_W,n_Z,n_H
357,20710000000000,167749307734750020000000,2854679392258537600000000000000000000,0,0,0
358,20740000000000,167022422002810000000000,2855236132993085300000000000000000000,0,0,0
359,20770000000000,166299729835109670000000,2855788066209082300000000000000000000,0,0,0
360,20800000000000,165581201033217500000000,2856335240269255000000000000000000000,0,0,0
361,20830000000000,164866805659282500000000,2856877702981105000000000000000000000,0,0,0
362,20860000000000,164156514033414170000000,2857415501604071300000000000000000000,0,0,0
363,20890000000000,163450296731093470000000,2857948682856587000000000000000000000,0,0,0
364,20920000000000,162748124580612700000000,2858477292923036000000000000000000000,0,0,0
365,20950000000000,162049968660545330000000,2859001377460613700000000000000000000,0,0,0
366,20980000000000,161355800297244070000000,2859520981606086000000000000000000000,0,0,0
367,21010000000000,160665591062367840000000,2860036149982453000000000000000000000,0,0,0
368,21040000000000,159979312770437200000000,2860546926705520000000000000000000000,0,0,0
369,21070000000000,159296937476416570000000,2861053355390371000000000000000000000,0,0,0
370,21100000000000,158618437473325440000000,2861555479157757000000000000000000000,0,0,0
371,21130000000000,157943785289875120000000,2862053340640387000000000000000000000,0,0,0
372,21160000000000,157272953688133360000000,2862546981989135500000000000000000000,0,0,0
