time(s),avg_energy(J/m^3),avg_photon(m^-3)
23.900000000000002,97628.45381378151,10000000000
24,97618.69096839221,10000000000
24.1,97608.92909929014,10000000000
24.200000000000003,97599.16820636738,10000000000
24.3,97589.40828955226,10000000000
24.400000000000002,97579.64934873387,10000000000
24.5,97569.89138377689,10000000000
24.6,97560.13439464764,10000000000
24.700000000000003,97550.3783812196,10000000000
24.8,97540.62334335872,10000000000
24.900000000000002,97530.86928105113,10000000000
25,97521.11619412643,10000000000
25.1,97511.36408248845,10000000000
25.200000000000003,97501.61294607387,10000000000
25.3,97491.86278478225,10000000000
25.400000000000002,97482.11359850454,10000000000
25.5,97472.36538716269,10000000000
25.6,97462.61815060148,10000000000
25.700000000000003,97452.87188879008,10000000000
25.8,97443.12660160808,10000000000
25.900000000000002,97433.38228894066,10000000000
26,97423.63895071327,10000000000
26.1,97413.89658681488,10000000000
26.200000000000003,97404.1551971533,10000000000
26.3,97394.41478165644,10000000000
26.400000000000002,97384.6753401751,10000000000
26.5,97374.93687263282,10000000000
26.6,97365.19937895941,10000000000
26.700000000000003,97355.46285902486,10000000000
26.8,97345.7273127173,10000000000
26.900000000000002,97335.99274000182,10000000000
27,97326.25914072785,10000000000
27.1,97316.52651480008,10000000000
27.200000000000003,97306.7948621513,10000000000
27.3,97297.0641826494,10000000000
27.400000000000002,97287.33447624037,10000000000
27.5,97277.6057428101,10000000000
27.6,97267.87798222792,10000000000
27.700000000000003,97258.15119444356,10000000000
27.8,97248.4253793076,10000000000
27.900000000000002,97238.70053676133,10000000000
28,97228.9766666992,10000000000
28.1,97219.25376904254,10000000000
28.200000000000003,97209.53184366472,10000000000
28.3,97199.8108904768,10000000000
28.400000000000002,97190.09090939477,10000000000
28.5,97180.37190031807,10000000000
28.6,97170.65386311115,10000000000
28.700000000000003,97160.93679773792,10000000000
28.8,97151.22070406897,10000000000
28.900000000000002,97141.50558197696,10000000000
29,97131.79143142696,10000000000
29.1,97122.07825228448,10000000000
29.200000000000003,97112.36604444282,10000000000
29.3,97102.65480784475,10000000000
29.400000000000002,97092.94454237648,10000000000
29.5,97083.23524793037,10000000000
29.6,97073.52692438007,10000000000
29.700000000000003,97063.81957170244,10000000000
29.8,97054.11318973594,10000000000
29.900000000000002,97044.40777841567,10000000000
30,97034.7033376597,10000000000
30.1,97024.99986731942,10000000000
30.200000000000003,97015.29736733243,10000000000
30.3,97005.59583759292,10000000000
30.400000000000002,96995.89527798729,10000000000
30.5,96986.19568848416,10000000000
30.6,96976.49706889217,10000000000
30.700000000000003,96966.79941919753,10000000000
30.8,96957.1027392536,10000000000
30.900000000000002,96947.407028994,10000000000
31,96937.71228827015,10000000000
31.1,96928.01851705025,10000000000
31.200000000000003,96918.32571519243,10000000000
31.3,96908.63388263973,10000000000
31.400000000000002,96898.94301926071,10000000000
31.5,96889.25312495022,10000000000
31.6,96879.5641996449,10000000000
31.700000000000003,96869.87624322387,10000000000
31.8,96860.18925559311,10000000000
31.900000000000002,96850.50323665336,10000000000
32,96840.81818632376,10000000000
32.1,96831.13410450045,10000000000
32.2,96821.45099111485,10000000000
32.300000000000004,96811.7688460248,10000000000
32.4,96802.08766913171,10000000000
32.5,96792.40746034165,10000000000
32.6,96782.72821962042,10000000000
32.7,96773.04994678513,10000000000
32.800000000000004,96763.37264179986,10000000000
32.9,96753.69630452867,10000000000
33,96744.02093490628,10000000000
33.1,96734.34653281386,10000000000
33.2,96724.67309816569,10000000000
33.300000000000004,96715.000630853,10000000000
33.4,96705.32913077084,10000000000
33.5,96695.65859785996,10000000000
33.6,96685.98903202036,10000000000
33.7,96676.32043310812,10000000000
33.800000000000004,96666.65280104654,10000000000
33.9,96656.98613576255,10000000000
34,96647.3204371827,10000000000
34.1,96637.65570510455,10000000000
34.2,96627.99193954532,10000000000
34.300000000000004,96618.32914034498,10000000000
34.4,96608.66730745531,10000000000
34.5,96599.00644071985,10000000000
34.6,96589.34654008358,10000000000
34.7,96579.68760541256,10000000000
34.800000000000004,96570.02963665269,10000000000
34.9,96560.37263369508,10000000000
35,96550.71659644289,10000000000
35.1,96541.06152475705,10000000000
35.2,96531.40741860929,10000000000
35.300000000000004,96521.75427786437,10000000000
35.4,96512.10210243777,10000000000
35.5,96502.45089221987,10000000000
35.6,96492.80064714017,10000000000
35.7,96483.15136707076,10000000000
35.800000000000004,96473.50305195672,10000000000
35.9,96463.85570164604,10000000000
36,96454.2093160561,10000000000
36.1,96444.56389513746,10000000000
36.2,96434.91943873008,10000000000
36.300000000000004,96425.27594681602,10000000000
36.4,96415.63341919695,10000000000
36.5,96405.9918558617,10000000000
36.6,96396.35125668923,10000000000
36.7,96386.71162155419,10000000000
36.800000000000004,96377.07295039431,10000000000
36.9,96367.43524309859,10000000000
37,96357.79849958213,10000000000
37.1,96348.16271972652,10000000000
37.2,96338.52790344541,10000000000
37.300000000000004,96328.89405067635,10000000000
37.4,96319.26116124759,10000000000
37.5,96309.62923514778,10000000000
37.6,96299.99827221235,10000000000
37.7,96290.36827239243,10000000000
37.800000000000004,96280.73923555408,10000000000
37.9,96271.1111616291,10000000000
38,96261.48405051476,10000000000
38.1,96251.85790212966,10000000000
38.2,96242.23271632257,10000000000
38.300000000000004,96232.60849305836,10000000000
38.400000000000006,96222.98523222377,10000000000
38.5,96213.36293367518,10000000000
38.6,96203.74159740425,10000000000
38.7,96194.1212232196,10000000000
38.800000000000004,96184.50181111359,10000000000
38.900000000000006,96174.88336094088,10000000000
39,96165.26587259707,10000000000
39.1,96155.64934599609,10000000000
39.2,96146.0337810596,10000000000
39.300000000000004,96136.41917768471,10000000000
39.400000000000006,96126.80553578501,10000000000
39.5,96117.19285523062,10000000000
39.6,96107.58113594723,10000000000
39.7,96097.97037781082,10000000000
39.800000000000004,96088.36058079399,10000000000
39.900000000000006,96078.7517447387,10000000000
40,96069.14386955049,10000000000
40.1,96059.53695515725,10000000000
40.2,96049.9310014586,10000000000
40.300000000000004,96040.32600835906,10000000000
40.400000000000006,96030.72197577152,10000000000
40.5,96021.11890355744,10000000000
40.6,96011.51679169285,10000000000
40.7,96001.91563999702,10000000000
40.800000000000004,95992.31544843478,10000000000
40.900000000000006,95982.71621689055,10000000000
41,95973.11794527964,10000000000
41.1,95963.52063346695,10000000000
41.2,95953.92428139978,10000000000
41.300000000000004,95944.32888900195,10000000000
41.400000000000006,95934.73445609373,10000000000
41.5,95925.14098263632,10000000000
41.6,95915.5484685565,10000000000
