time(s),avg_energy(J/m^3),avg_photon(m^-3),avg_axion(m^-3),avg_neutrino(m^-3),avg_qgp_fraction
194,9124085.724464875,10000000000,0.009999998050002786,0.8600000000003262,1
195,9119801.941469008,10000000000,0.009999998039999843,0.8600000000003262,1
196,9115520.213958848,10000000000,0.009999998029998848,0.8600000000003262,1
197,9111240.540924098,10000000000,0.009999998019999064,0.8600000000003262,1
198,9106962.921356702,10000000000,0.009999998009995964,0.8600000000003262,1
199,9102687.35425458,10000000000,0.009999998000005656,0.8600000000003262,1
200,9098413.838616239,10000000000,0.009999997990002556,0.8600000000003262,1
201,9094142.373419499,10000000000,0.009999997980002772,0.8600000000003262,1
202,9089872.957673721,10000000000,0.009999997969998831,0.8600000000003262,1
203,9085605.59036947,10000000000,0.009999997959995888,0.8600000000003262,1
204,9081340.270507947,10000000000,0.009999997949995317,0.8600000000003262,1
205,9077076.997077232,10000000000,0.009999997940005638,0.8600000000003262,1
206,9072815.769080415,10000000000,0.009999997930002539,0.8600000000003262,1
207,9068556.58551237,10000000000,0.009999997920002123,0.8600000000003262,1
208,9064299.445375174,10000000000,0.009999997909999024,0.8600000000003262,1
209,9060044.347662788,10000000000,0.009999997899998819,0.8600000000003262,1
210,9055791.291380202,10000000000,0.009999997889998244,0.8600000000003262,1
211,9051540.27551283,10000000000,0.009999997879995304,0.8600000000003262,1
212,9047291.299073882,10000000000,0.009999997870004834,0.8600000000003262,1
213,9043044.361060338,10000000000,0.009999997860005052,0.8600000000003262,1
214,9038799.460479308,10000000000,0.00999999785000195,0.8600000000003262,1
215,9034556.596315214,10000000000,0.00999999783999817,0.8600000000003262,1
216,9030315.767586216,10000000000,0.00999999782999507,0.8600000000003262,1
217,9026076.973296613,10000000000,0.009999997819995285,0.8600000000003262,1
218,9021840.21243289,10000000000,0.009999997810004818,0.8600000000003262,1
219,9017605.4840093,10000000000,0.009999997800001876,0.8600000000003262,1
220,9013372.787039729,10000000000,0.009999997790001304,0.8600000000003262,1
221,9009142.120505832,10000000000,0.009999997780001102,0.8600000000003262,1
222,9004913.48342723,10000000000,0.009999997769998001,0.8600000000003262,1
223,9000686.874808671,10000000000,0.009999997759997587,0.8600000000003262,1
